time(s),Duration(s),ElapsedTime(s),TotalPopulation,TotalInfected,Area(m²),Density(p/m²),TotalParticles,MaximumProbableContacts,CalculateDecay,CharacteristicTime(s),MotionRadius,Atleast1pWake,Atleast1pCircular,ParticlesWakeMax,ParticlesWakeMean,ParticlesWakeMin,ParticlesWakeMedian,ParticlesWakeMode,ParticlesWakeVariance,ParticlesWakeSkewness,ParticlesWakeKurtosis,ParticlesCircularMax,ParticlesCircularMean,ParticlesCircularMin,ParticlesCircularMedian,ParticlesCircularMode,ParticlesCircularVariance,ParticlesCircularSkewness,ParticlesCircularKurtosis,ParticlesWakeNZeroMax,ParticlesWakeNZeroMean,ParticlesWakeNZeroMin,ParticlesWakeNZeroMedian,ParticlesWakeNZeroMode,ParticlesWakeNZeroVariance,ParticlesWakeNZeroSkewness,ParticlesWakeNZeroKurtosis,ParticlesCircularNZeroMax,ParticlesCircularNZeroMean,ParticlesCircularNZeroMin,ParticlesCircularNZeroMedian,ParticlesCircularNZeroMode,ParticlesCircularNZeroVariance,ParticlesCircularNZeroSkewness,ParticlesCircularNZeroKurtosis,p_DummyCheckRandomness,Title
22,1200,0,1000,1,2123,0.471,2000,48800,FALSE,100,12.5,90,4,1428,10.1011011,0,0,0,4037.99077,14.21260099,272.3918994,984,2.296296296,0,0,0,1742.511319,19.82881014,412.1212817,1428,112.1222222,1,61,4,33712.5804,4.862677628,30.61795107,984,573.5,87,611.5,87,142895,-0.537044413,0.344822796,5,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|ETI=5.0 (s)|DTI=0.20 (m)|Den=0.000|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#5
8,1200,0,1000,1,2123,0.471,500,9600,FALSE,100,12.5,7,1,447,1.935935936,0,0,0,716.1321642,14.5037016,213.9992051,226,0.226226226,0,0,0,51.12712713,31.60696126,999,447,276.2857143,23,320,302,30684.57143,-0.83479767,-1.085109728,226,226,226,226,226,NaN,NaN,NaN,8,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|ETI=5.0 (s)|DTI=0.20 (m)|Den=0.000|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#8
9,1200,0,1000,1,2123,0.471,500,11200,FALSE,100,12.5,9,1,454,2.278278278,0,0,0,841.2391169,13.36209152,181.6290012,226,0.226226226,0,0,0,51.12712713,31.60696126,999,454,252.8888889,1,327,1,33645.86111,-0.502352555,-1.72543961,226,226,226,226,226,NaN,NaN,NaN,8,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|ETI=5.0 (s)|DTI=0.20 (m)|Den=0.000|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#8
23,1200,0,1000,1,2123,0.471,2000,52800,FALSE,100,12.5,109,4,1548,12.09009009,0,0,0,4965.378649,13.36964311,247.1142372,984,2.296296296,0,0,0,1742.511319,19.82881014,412.1212817,1548,110.8073394,1,57,2,34843.89772,4.990763287,33.42236261,984,573.5,87,611.5,87,142895,-0.537044413,0.344822796,5,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|ETI=5.0 (s)|DTI=0.20 (m)|Den=0.000|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#5
10,1200,0,1000,1,2123,0.471,500,12800,FALSE,100,12.5,12,3,454,2.690690691,0,0,0,922.9493221,12.29503822,156.0683928,249,0.557557558,0,0,0,119.7299002,20.94687349,449.630851,454,224,2,238,2,29656.72727,-0.069960124,-1.76279731,249,185.6666667,82,226,82,8192.333333,-1.607077008,NaN,8,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|ETI=5.0 (s)|DTI=0.20 (m)|Den=0.000|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#8
11,1200,0,1000,1,2123,0.471,1000,15200,FALSE,100,12.5,15,4,1626,4.209209209,0,0,0,3505.768813,22.17778175,574.6970425,621,1.346346346,0,0,0,615.9180002,21.08986171,474.1969454,1626,280.3333333,1,200,42,166975.381,2.818068757,9.277725141,621,336.25,82,321,621,54746.91667,0.302888861,-1.331740102,8,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|ETI=5.0 (s)|DTI=0.20 (m)|Den=0.000|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#8
24,1200,0,1000,1,2123,0.471,2000,56800,FALSE,100,12.5,115,4,1548,13.47047047,0,0,0,5292.269418,12.372338,217.7131837,984,2.296296296,0,0,0,1742.511319,19.82881014,412.1212817,1548,117.0173913,1,64,4,34107.49092,4.834116468,32.33944161,984,573.5,87,611.5,87,142895,-0.537044413,0.344822796,5,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|ETI=5.0 (s)|DTI=0.20 (m)|Den=0.000|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#5
12,1200,0,1000,1,2123,0.471,1000,17600,FALSE,100,12.5,20,4,1626,4.637637638,0,0,0,3731.559945,20.7859264,512.2314305,621,1.346346346,0,0,0,615.9180002,21.08986171,474.1969454,1626,231.65,1,64,13,140649.9237,2.954902721,10.40135252,621,336.25,82,321,621,54746.91667,0.302888861,-1.331740102,8,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|ETI=5.0 (s)|DTI=0.20 (m)|Den=0.000|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#8
13,1200,0,1000,1,2123,0.471,1000,20000,FALSE,100,12.5,23,4,1626,5.341341341,0,0,0,3886.012628,19.75291741,472.9397091,621,1.346346346,0,0,0,615.9180002,21.08986171,474.1969454,1626,232,1,97,6,121308.6364,3.161966663,12.02470981,621,336.25,82,321,621,54746.91667,0.302888861,-1.331740102,8,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|ETI=5.0 (s)|DTI=0.20 (m)|Den=0.000|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#8
25,1200,0,1000,1,2123,0.471,2000,60800,FALSE,100,12.5,121,4,1548,14.4024024,0,0,0,5499.030295,11.83625292,201.9541065,984,2.296296296,0,0,0,1742.511319,19.82881014,412.1212817,1548,118.9090909,1,68,36,33203.25,4.793464074,32.22287246,984,573.5,87,611.5,87,142895,-0.537044413,0.344822796,5,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|ETI=5.0 (s)|DTI=0.20 (m)|Den=0.000|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#5
