Date,Day_LST_mean,Night_LST_mean,LST_mean
2015-01-14,,,
2015-01-15,22.343210551558784,20.60904858690788,
2015-01-16,23.943488861134504,20.617119610948574,22.891887370382022
2015-01-17,25.28782312925174,,
2015-01-18,,,
2015-01-19,25.538540450951324,19.038918859846405,19.509508191328397
2015-01-20,26.305895908092968,19.142616361616817,22.540852456771358
2015-01-21,24.293066174668535,,
2015-01-22,28.55046270740129,19.53346215004989,23.951913329536104
2015-01-23,24.399713218732415,18.113610082250016,21.172244605481442
2015-01-24,30.38088072200406,20.445836292613656,24.71166218758401
2015-01-25,24.043805496173704,,
2015-01-26,23.64030303030306,,
2015-01-27,29.30420684772322,,
2015-01-28,24.06450980392161,,
2015-01-29,24.870769230769255,,
2015-01-30,,,
2015-01-31,26.508947368421058,,
2015-02-01,,,
2015-02-02,,,
2015-02-03,25.187660412808977,,
2015-02-04,,,
2015-02-05,,19.686172501216443,
2015-02-06,,,
2015-02-07,26.33113636363637,23.61744186046515,
2015-02-08,24.949512319567404,,
2015-02-09,28.978120945534542,,
2015-02-10,28.932159258245076,,
2015-02-11,28.320212642327125,,
2015-02-12,29.203709186480943,21.57326347859186,25.480622647889227
2015-02-13,25.473216976722462,,
2015-02-14,27.576749540895637,,
2015-02-15,,,
2015-02-16,,,
2015-02-17,,,
2015-02-18,,,
2015-02-19,27.883592605365486,17.55829948284402,22.56067121299385
2015-02-20,27.379805907078772,,
2015-02-21,,,
2015-02-22,27.76052905464007,,
2015-02-23,,,
2015-02-24,,,
2015-02-25,24.658666666666697,,
2015-02-26,25.27624389733707,,
2015-02-27,21.567733333333365,17.124174022427468,16.34635555555559
2015-02-28,26.064542566809934,19.409041778752425,22.254343448026763
2015-03-01,25.74368479087778,17.09907971090397,18.443396090225583
2015-03-02,30.11902894785189,,
2015-03-03,,8.896743274031126,
2015-03-04,21.35687354077346,16.58768799102137,
2015-03-05,20.919104028863533,15.434181762923563,
2015-03-06,25.354484848484887,,
2015-03-07,,,
2015-03-08,24.730984675899393,18.178197013028274,
2015-03-09,27.702996326208122,20.805903798533073,24.30773555180208
2015-03-10,21.93832088593577,,
2015-03-11,27.686012417569234,18.68995382133351,24.72187334976387
2015-03-12,24.728955232172375,17.13132218309116,20.998687501756567
2015-03-13,28.464306942232618,19.640868484448724,24.34032288058102
2015-03-14,26.949639883449628,17.89137489604547,21.603979176097813
2015-03-15,25.874266954331667,19.785336496241612,23.112916767308224
2015-03-16,28.996317804807866,21.267496990563384,25.391926222928493
2015-03-17,27.24824657642366,20.73022948767027,24.012408387475432
2015-03-18,28.691927061625744,21.244108611913425,25.01102577574654
2015-03-19,,20.71470259302343,
2015-03-20,29.435643122253143,21.477365953023728,25.51473144837273
2015-03-21,26.12661375760578,19.580541039198753,22.638220941905637
2015-03-22,27.661389412859748,20.720395237033518,24.05004049038106
2015-03-23,27.32249031655307,20.74619352741766,24.306696765983148
2015-03-24,25.16000238099348,20.055785698203085,22.278507591359773
2015-03-25,28.455960402060015,21.24123560630897,25.126374872365435
2015-03-26,22.500399272327638,,
2015-03-27,29.932324104585835,21.141377428690564,25.87082243032005
2015-03-28,25.094791649705424,,
2015-03-29,26.475922422526907,,
2015-03-30,,18.07896907034602,
2015-03-31,24.045580042993368,20.821255136057097,
2015-04-01,25.786252375620727,18.872196692048103,22.784724319306964
2015-04-02,21.760817643583756,18.485026475999685,20.362025328093065
2015-04-03,27.286693179142798,19.981804906030412,23.71938731162486
2015-04-04,,18.222700894104715,
2015-04-05,30.46619727839467,21.136654790287366,25.8077914649285
2015-04-06,27.852379501986245,19.541649060117912,23.261729345631665
2015-04-07,27.353923482858207,17.149610791501466,21.798976854010338
2015-04-08,,15.428954821308192,
2015-04-09,23.934213475781625,11.962865701453289,18.169272800106853
2015-04-10,25.70895928388332,10.675291034515377,17.92453277120363
2015-04-11,21.030952380952417,,
2015-04-12,28.270040329865648,19.813310829818356,24.056693282133942
2015-04-13,27.37660722423635,17.437471887753937,22.537161408655244
2015-04-14,28.005395624005008,18.57803977068943,23.57116024080161
2015-04-15,26.8183210272064,,
2015-04-16,,,
2015-04-17,25.687955415617154,20.47054672980127,22.519894561110654
2015-04-18,22.253276910097803,19.683265954230777,19.973878061084147
2015-04-19,26.379507013389357,20.73696412041762,23.807503487268345
2015-04-20,,17.55561155612585,
2015-04-21,26.25927573834679,20.49326265437704,23.63814374435179
2015-04-22,25.483279441160548,16.14476655339134,20.463371912051038
